state_name,district_name,block_code,block_name
Andaman And Nicobar Islands,Nicobars,6499,Car Nicobar
Andaman And Nicobar Islands,Nicobars,6500,Nancowrie
Andaman And Nicobar Islands,Nicobars,6498,Campbell Bay
Andaman And Nicobar Islands,North And Middle Andaman,6492,Diglipur
Andaman And Nicobar Islands,North And Middle Andaman,6495,Mayabunder
Andaman And Nicobar Islands,North And Middle Andaman,6497,Rangat
Andaman And Nicobar Islands,South Andamans,6493,Ferrargunj
Andaman And Nicobar Islands,South Andamans,6494,Little Andaman
Andaman And Nicobar Islands,South Andamans,6496,Prothrapur
Andhra Pradesh,Alluri Sitharama Raju,5584,Ananthagiri
Andhra Pradesh,Alluri Sitharama Raju,5585,Araku Valley
Andhra Pradesh,Alluri Sitharama Raju,5589,Chintapalle
Andhra Pradesh,Alluri Sitharama Raju,5592,Dumbriguda
Andhra Pradesh,Alluri Sitharama Raju,5593,G.Madugula
Andhra Pradesh,Alluri Sitharama Raju,5596,Gudem Kotha Veedhi
Andhra Pradesh,Alluri Sitharama Raju,5597,Hukumpeta
Andhra Pradesh,Alluri Sitharama Raju,5601,Koyyuru
Andhra Pradesh,Alluri Sitharama Raju,5605,Munchingi Puttu
Andhra Pradesh,Alluri Sitharama Raju,5609,Paderu
Andhra Pradesh,Alluri Sitharama Raju,5613,Peda Bayalu
Andhra Pradesh,Anakapalli,5582,Anakapalle
Andhra Pradesh,Anakapalli,5581,Achutapuram
Andhra Pradesh,Anakapalli,5587,Butchayyapeta
Andhra Pradesh,Anakapalli,5588,Cheedikada
Andhra Pradesh,Anakapalli,5590,Chodavaram
Andhra Pradesh,Anakapalli,5591,Devarapalle
Andhra Pradesh,Anakapalli,5595,Golugonda
Andhra Pradesh,Anakapalli,5599,Kasimkota
Andhra Pradesh,Anakapalli,5598,K.Kotapadu
Andhra Pradesh,Anakapalli,5600,Kotauratla
Andhra Pradesh,Anakapalli,5602,Madugula
Andhra Pradesh,Anakapalli,5603,Makavarapalem
Andhra Pradesh,Anakapalli,5604,Munagapaka
Andhra Pradesh,Anakapalli,5606,Nakkapalle
Andhra Pradesh,Anakapalli,5607,Narsipatnam
Andhra Pradesh,Anakapalli,5608,Nathavaram
Andhra Pradesh,Anakapalli,5611,Paravada
Andhra Pradesh,Visakhapatnam,5621,Visakhapatnam(Rural)
Andhra Pradesh,Anakapalli,5612,Payakaraopeta
Andhra Pradesh,Anakapalli,5616,Rambilli
Andhra Pradesh,Anakapalli,5617,Ravikamatham
Andhra Pradesh,Anakapalli,5618,Rolugunta
Andhra Pradesh,Anakapalli,5620,Sabbavaram
Andhra Pradesh,Anakapalli,5619,S.Rayavaram
Andhra Pradesh,Anakapalli,5622,Yelamanchili
Andhra Pradesh,Ananthapuramu,4689,Anantapur
Andhra Pradesh,Ananthapuramu,4690,Atmakur
Andhra Pradesh,Ananthapuramu,4692,Beluguppa
Andhra Pradesh,Ananthapuramu,4693,Bommanahal
Andhra Pradesh,Ananthapuramu,4694,Brahmasamudram
Andhra Pradesh,Ananthapuramu,4696,Bukkarayasamudram
Andhra Pradesh,Ananthapuramu,4699,D.Hirehal
Andhra Pradesh,Ananthapuramu,4702,Garladinne
Andhra Pradesh,Ananthapuramu,4703,Gooty
Andhra Pradesh,Ananthapuramu,4706,Gummagatta
Andhra Pradesh,Ananthapuramu,4707,Guntakal
Andhra Pradesh,Ananthapuramu,4710,Kalyandrug
Andhra Pradesh,Ananthapuramu,4711,Kambadur
Andhra Pradesh,Ananthapuramu,4713,Kanekal
Andhra Pradesh,Ananthapuramu,4715,Kudair
Andhra Pradesh,Ananthapuramu,4716,Kundurpi
Andhra Pradesh,Ananthapuramu,4723,Narpala
Andhra Pradesh,Ananthapuramu,4725,Pamidi
Andhra Pradesh,Ananthapuramu,4727,Peddapappur
Andhra Pradesh,Ananthapuramu,4728,Peddavadugur
Andhra Pradesh,Ananthapuramu,4730,Putlur
Andhra Pradesh,Ananthapuramu,4733,Raptadu
Andhra Pradesh,Ananthapuramu,4734,Rayadurg
Andhra Pradesh,Ananthapuramu,4737,Settur
Andhra Pradesh,Ananthapuramu,4738,Singanamala
Andhra Pradesh,Ananthapuramu,4741,Tadipatri
Andhra Pradesh,Ananthapuramu,4744,Uravakonda
Andhra Pradesh,Ananthapuramu,4745,Vajrakarur
Andhra Pradesh,Ananthapuramu,4746,Vidapanakal
Andhra Pradesh,Ananthapuramu,4747,Yadiki
Andhra Pradesh,Ananthapuramu,4748,Yellanur
Andhra Pradesh,Annamayya,4749,B.Kothakota
Andhra Pradesh,Annamayya,4822,Chinnamandem
Andhra Pradesh,Annamayya,4756,Chowdepalle
Andhra Pradesh,Annamayya,4826,Galiveedu
Andhra Pradesh,Annamayya,4761,Gurramkonda
Andhra Pradesh,Annamayya,4764,Kalakada
Andhra Pradesh,Annamayya,4765,Kalikiri
Andhra Pradesh,Annamayya,4766,Kambhamvaripalle
Andhra Pradesh,Annamayya,4769,Kurabalakota
Andhra Pradesh,Annamayya,4834,Lakkireddipalle
Andhra Pradesh,Annamayya,4770,Madanapalle
Andhra Pradesh,Annamayya,4771,Mulakalacheruvu
Andhra Pradesh,Annamayya,4775,Nimmanapalle
Andhra Pradesh,Annamayya,4780,Peddamandyam
Andhra Pradesh,Annamayya,4782,Peddathippasamudram
Andhra Pradesh,Annamayya,4784,Piler
Andhra Pradesh,Annamayya,4787,Punganur
Andhra Pradesh,Annamayya,4850,Ramapuram
Andhra Pradesh,Annamayya,4792,Ramasamudram
Andhra Pradesh,Annamayya,4851,Rayachoty
Andhra Pradesh,Annamayya,4852,Sambepalle
Andhra Pradesh,Annamayya,4797,Sodam
Andhra Pradesh,Annamayya,4798,Somala
Andhra Pradesh,Annamayya,4801,Thamballapalle
Andhra Pradesh,Annamayya,4807,Valmikipuram
Andhra Pradesh,Bapatla,4924,Amruthalur
Andhra Pradesh,Bapatla,4926,Bapatla
Andhra Pradesh,Bapatla,4928,Bhattiprolu
Andhra Pradesh,Bapatla,4931,Cherukupalle
Andhra Pradesh,Bapatla,5460,Chinaganjam
Andhra Pradesh,Bapatla,5461,Chirala
Andhra Pradesh,Bapatla,5469,Inkollu
Andhra Pradesh,Bapatla,5473,Karamchedu
Andhra Pradesh,Bapatla,4942,Karlapalem
Andhra Pradesh,Bapatla,4944,Kollur
Andhra Pradesh,Bapatla,5484,Martur
Andhra Pradesh,Bapatla,4952,Nagaram
Andhra Pradesh,Bapatla,4955,Nizampatnam
Andhra Pradesh,Bapatla,5489,Parchur
Andhra Pradesh,Bapatla,4962,Pittalavanipalem
Andhra Pradesh,Bapatla,4967,Repalle
Andhra Pradesh,Bapatla,4975,Tsundur
Andhra Pradesh,Bapatla,4978,Vemuru
Andhra Pradesh,Bapatla,5505,Vetapalem
Andhra Pradesh,Bapatla,5507,Yddana Pudi
Andhra Pradesh,Chittoor,4750,Baireddipalle
Andhra Pradesh,Chittoor,4751,Bangarupalem
Andhra Pradesh,Chittoor,4755,Chittoor
Andhra Pradesh,Chittoor,4757,Gangadhara Nellore
Andhra Pradesh,Chittoor,4758,Gangavaram
Andhra Pradesh,Chittoor,4759,Gudipala
Andhra Pradesh,Chittoor,4760,Gudupalle
Andhra Pradesh,Chittoor,4762,Irala
Andhra Pradesh,Chittoor,4767,Karvetinagar
Andhra Pradesh,Chittoor,4768,Kuppam
Andhra Pradesh,Chittoor,4773,Nagari
Andhra Pradesh,Chittoor,4776,Nindra
Andhra Pradesh,Chittoor,4778,Palamaner
